배열크기, 수행시간 
0,0
1000,0.998
2000,0.997
3000,2.999
4000,3.004
5000,4
6000,4.997
7000,5.998
8000,6.995
9000,8.997
10000,9.995
11000,11.002
12000,10.996
13000,11.998
14000,13
15000,15.003
16000,16.002
17000,17.001
18000,17
19000,18
20000,19.002
21000,21
22000,20.999
23000,25
24000,24.997
25000,25
26000,26.003
27000,26
28000,27.999
29000,29.999
30000,30.998
31000,35.001
32000,35
33000,33.998
34000,35.998
35000,36
36000,37.997
37000,37.995
38000,40.997
39000,39.999
40000,43.003
41000,44.002
42000,45
43000,48.002
44000,46.002
45000,48
46000,49.001
47000,50
48000,51.002
49000,52.002
50000,55.001
51000,57.003
52000,55
53000,56.998
54000,60.001
55000,59.997
56000,63.999
57000,59.998
58000,63
59000,63.002
60000,65
61000,67.999
62000,66.004
63000,70.996
64000,68
65000,72
66000,72.997
67000,73.002
68000,77.001
69000,74.997
70000,77
71000,78.003
72000,83
73000,80.001
74000,82
75000,80.998
76000,92.997
77000,88
78000,88
79000,90
80000,90
81000,88.996
82000,89.997
83000,94.998
84000,93.999
85000,95
86000,98.002
87000,99.998
