배열 크기,
0,0
1000,0.001
2000,0.002
3000,0.003
4000,0.003
5000,0.005
6000,0.006
7000,0.006
8000,0.007
9000,0.008
10000,0.00899
11000,0.011
12000,0.012
13000,0.012
14000,0.013
15000,0.014
16000,0.015
17000,0.016
18000,0.01801
19000,0.019
20000,0.019
21000,0.021
22000,0.021
23000,0.024
24000,0.025
25000,0.027
26000,0.028
27000,0.027
28000,0.028
29000,0.03
30000,0.032
31000,0.032
32000,0.034
33000,0.035
34000,0.035
35000,0.037
36000,0.038
37000,0.04
38000,0.043
39000,0.042
40000,0.041
41000,0.047
42000,0.045
43000,0.048
44000,0.048
45000,0.049
46000,0.051
47000,0.05
48000,0.052
49000,0.054
50000,0.053
51000,0.055
52000,0.05899
53000,0.057
54000,0.058
55000,0.061
56000,0.062
57000,0.061
58000,0.066
59000,0.064
60000,0.067
61000,0.067
62000,0.07
63000,0.067
64000,0.077
65000,0.074
66000,0.07301
67000,0.076
68000,0.076
69000,0.078
70000,0.083
71000,0.079
72000,0.083
73000,0.082
74000,0.083
75000,0.086
76000,0.087
77000,0.089
78000,0.087
79000,0.093
80000,0.09
81000,0.094
82000,0.097
83000,0.098
84000,0.097
85000,0.101
86000,0.101
87000,0.104
88000,0.115
89000,0.109
90000,0.111
91000,0.112
92000,0.118
93000,0.116
94000,0.121
95000,0.118
96000,0.118
97000,0.122
98000,0.122
99000,0.12
100000,0.126
