반복횟수,퀵정렬,삽입정렬,버블정렬,선택정렬
0,0,0,0,0
10,0,0,0,0
20,0,0,0.002,0
30,0,0.004,0.004,0
40,0.00399,0.004,0.008,0.002
50,0.00201,0.006,0.006,0.004
60,0.002,0.008,0.008,0.004
70,0.002,0.01401,0.018,0.006
80,0.00601,0.016,0.01601,0.008
90,0.00399,0.022,0.02399,0.012
100,0.002,0.04,0.02801,0.016
110,0.008,0.03201,0.034,0.014
120,0.00399,0.038,0.04,0.02
130,0.006,0.046,0.04799,0.024
140,0.008,0.04599,0.052,0.022
150,0.00801,0.07199,0.062,0.03
160,0.008,0.074,0.07601,0.034
170,0.01,0.08,0.07999,0.038
180,0.01,0.086,0.088,0.04
190,0.012,0.108,0.1,0.046
200,0.01201,0.106,0.11,0.05
210,0.012,0.102,0.11398,0.06001
220,0.01601,0.18201,0.13601,0.064
230,0.01,0.18198,0.13201,0.068
240,0.012,0.182,0.154,0.06799
250,0.01199,0.162,0.17601,0.08401
260,0.01201,0.19798,0.18001,0.10199
270,0.016,0.18,0.19201,0.104
280,0.02,0.19801,0.20999,0.10198
290,0.018,0.216,0.222,0.12601
300,0.01599,0.232,0.246,0.12198
310,0.02,0.296,0.304,0.144
320,0.02201,0.25,0.28001,0.15
330,0.02001,0.28001,0.30799,0.14802
340,0.01999,0.36801,0.32,0.15999
350,0.016,0.34999,0.34801,0.17
360,0.02799,0.36001,0.416,0.182
370,0.024,0.392,0.38199,0.194
380,0.02799,0.46199,0.40799,0.20801
390,0.02799,0.436,0.434,0.216
400,0.02199,0.448,0.452,0.256
410,0.026,0.48401,0.50999,0.25
420,0.02801,0.544,0.51399,0.25801
430,0.02601,0.578,0.61601,0.33199
440,0.028,0.57735,0.60799,0.28199
450,0.02999,0.57273,0.61399,0.30401
460,0.028,0.64215,0.636,0.342
470,0.026,0.61238,0.73401,0.34401
480,0.03199,0.71802,0.74801,0.33799
490,0.026,0.68401,0.73999,0.38201
500,0.05,0.782,0.84,0.386
510,0.028,0.85,0.81599,0.4
520,0.04,0.77,0.828,0.42002
530,0.03399,0.818,0.89597,0.426
540,0.036,0.82798,0.94402,0.45401
550,0.03199,0.89,1.07599,0.514
560,0.04,0.92997,1.02399,0.494
570,0.044,0.90601,1.05,0.504
580,0.04198,0.938,1.148,0.538
590,0.036,0.97,1.26599,0.59798
600,0.03999,1.002,1.23198,0.568
610,0.038,1.10199,1.26199,0.568
620,0.04199,1.12598,1.304,0.60199
630,0.04199,1.13599,1.34801,0.70001
640,0.04601,1.16997,1.41615,0.79199
650,0.04801,1.212,1.51253,0.74001
660,0.04799,1.23999,1.37602,0.666
670,0.05,1.25999,1.63998,0.74399
680,0.048,1.30999,1.48399,0.83801
690,0.04999,1.37998,1.514,0.87201
700,0.04599,1.38399,1.56198,0.78801
710,0.04599,1.44601,1.59997,0.89
720,0.05202,1.48,1.63397,0.83802
730,0.04998,1.52797,1.75599,0.93199
740,0.052,1.63601,1.76799,0.954
750,0.05,1.66801,1.83999,0.87799
760,0.05197,1.67801,1.84779,1.03299
770,0.05199,1.71998,1.84799,1.00872
780,0.05801,1.744,1.908,0.98495
790,0.05998,1.78602,1.954,1.04402
800,0.056,1.846,2.03199,1.04602
810,0.05801,1.89798,2.096,1.13599
820,0.05598,1.94001,2.22399,1.07599
830,0.06403,2.01,2.18002,1.08401
840,0.058,2.10799,2.242,1.138
850,0.06,2.126,2.26199,1.11803
860,0.06401,2.17799,2.34199,1.186
870,0.06201,2.224,2.38599,1.16398
880,0.06,2.268,2.45998,1.19201
890,0.074,2.34201,2.532,1.29
900,0.058,2.382,2.584,1.26199
910,0.07601,2.46202,2.63601,1.30801
920,0.06801,2.52001,2.68802,1.29798
930,0.1,2.54398,2.786,1.34
940,0.06401,2.61001,2.81996,1.33801
950,0.084,2.668,2.91199,1.36797
960,0.062,2.726,2.98198,1.41995
970,0.07,2.80797,3.01399,1.43401
980,0.066,3.09202,3.08602,1.48399
990,0.072,2.93402,3.12401,1.50198
1000,0.07399,2.974,3.198,1.50601
