반복횟수, 수행시간 
0, 0.00000 
10, 0.02000 
20, 0.00000 
30, 0.01999 
40, 0.04000 
50, 0.02007 
60, 0.05996 
70, 0.08001 
80, 0.10000 
90, 0.10016 
100, 0.17995 
110, 0.16002 
120, 0.17994 
130, 0.21995 
140, 0.23988 
150, 0.30003 
160, 0.34001 
170, 0.40009 
180, 0.41999 
190, 0.55998 
200, 0.76000 
210, 0.80006 
220, 0.66000 
230, 0.87995 
240, 1.00002 
250, 0.83999 
260, 0.86009 
270, 0.91985 
280, 1.00003 
290, 1.15998 
300, 1.21992 
310, 1.24004 
320, 1.40000 
330, 1.72003 
340, 1.75998 
350, 1.73999 
360, 2.14016 
370, 2.10015 
380, 2.58001 
390, 2.61981 
400, 2.52011 
410, 2.72000 
420, 3.11996 
430, 2.70005 
440, 3.01999 
450, 3.20013 
460, 3.37991 
470, 3.44000 
480, 3.93734 
490, 3.69991 
500, 3.65996 
510, 4.16031 
520, 4.64000 
530, 4.54003 
540, 4.84001 
550, 5.05981 
560, 5.12010 
570, 5.13998 
580, 4.94000 
590, 5.69990 
600, 5.78007 
610, 5.55988 
620, 6.28013 
630, 6.80005 
640, 6.43995 
650, 6.49983 
660, 7.21994 
670, 6.91987 
680, 7.45987 
690, 7.51995 
700, 8.52004 
710, 8.07986 
720, 8.30011 
730, 8.66007 
740, 8.53989 
750, 9.88004 
760, 9.06004 
770, 10.03972 
780, 10.46005 
790, 9.60000 
800, 10.50007 
810, 10.69957 
820, 10.48233 
830, 11.15663 
840, 10.94003 
850, 11.99995 
860, 11.87996 
870, 11.95991 
880, 12.03992 
890, 13.77990 
900, 13.12013 
910, 14.25977 
920, 13.91988 
930, 13.90003 
940, 15.23980 
950, 16.23995 
960, 14.23995 
970, 16.01995 
980, 16.11991 
990, 15.78004 
1000, 16.57998 
